UUUU,90,89,78,65,80,43,55,67,77,60,70
OPOPO,12,34,56,78,45,98,90,50,78,79,62
Oscar,45,45,45,45,45,45,45,80,90,65,55
OPOPPO,40,50,60,50,50,30,67,90,70,64,57
Oscar monascsaro,90,98,86,58,83,40,87,90,59,69,76
Oscar opoasp,90,50,69,70,69,69,55,87,90,75,72
Oscar JJJJJJ,90,86,86,99,90,100,86,89,100,93,91
Oscar Moncayo Garcia,90,50,90,87,79,59,48,90,100,74,76
POPPPPPP,90,98,79,60,81,70,67,98,98,83,82
OscarOLLOLOLOLO,90,99,100,98,96,57,89,56,88,72,84
Oscar Moncayo,90,56,78,90,78,98,50,50,88,71,74
Oscaropoopaosapoasopasopas,90,68,90,86,83,88,77,66,99,82,82
Ololalalaa,90,98,87,55,82,99,100,56,81,84,83
Oscar,90,56,96,10,63,10,10,5,9,8,35
